V_actual,OMEGA_actual,V_ref,OMEGA_ref
0.20007296427311289,-0.0006864485294307407,0.2,0.0
0.20020699368545417,-0.0006172701951402535,0.2,0.0
0.19986298637782193,0.0026870785986076243,0.2,0.0
0.19975073695547696,0.0002639304906757329,0.2,0.0
0.1997990130628801,-0.0002109630008363617,0.2,0.0
0.19995092949309212,-0.0006076286166805621,0.2,0.0
0.20017793471465373,-0.0006869397345726523,0.2,0.0
0.20009845364127687,0.0009264377434313329,0.2,0.0
0.1998625574314168,0.0012799403858022372,0.2,0.0
0.19980732796663553,-0.00037879463469763387,0.2,0.0
0.19998720657062213,-0.0006377950899733202,0.2,0.0
0.20014000613995309,-0.0006865001926985282,0.2,0.0
0.20016376737034153,0.00033268723187197536,0.2,0.0
0.2002276005278029,6.563280489942802e-05,0.2,0.0
0.19987425384687105,0.0008411797076255601,0.2,0.0
0.19988417337663986,-0.0006158042383281009,0.2,0.0
0.20009849309623248,-0.0006880544668312655,0.2,0.0
0.20018944622864102,-1.7612655069370208e-05,0.2,0.0
0.19988123793696663,0.0015165061333704943,0.2,0.0
0.1996745300025046,-0.0003696120539616122,0.2,0.0
0.19984963005052608,-0.0005594610312871416,0.2,0.0
0.2001340028441633,-0.0006872643635012312,0.2,0.0
0.2002026708947634,-0.00029792129741871285,0.2,0.0
0.19860067605216758,0.011166503872821606,0.2,0.0
0.19981294196045685,0.0007884697406973531,0.2,0.0
0.19981502573851967,-0.0004846078083625091,0.2,0.0
0.20001234690299508,-0.0006526758864473927,0.2,0.0
0.20019231848676167,-6.398277418578332e-05,0.2,0.0
0.19905562558505735,0.007871535808186978,0.2,0.0
0.19968144301499205,-0.0003026487062075477,0.2,0.0
0.199803436420167,-0.00028990506281974287,0.2,0.0
0.19996952287437406,-0.0006216665180838779,0.2,0.0
0.20019341351040745,-0.000667466798668899,0.2,0.0
0.20003940864415456,0.001394652853923473,0.2,0.0
0.19991689330070278,0.001613313715198518,0.2,0.0
0.19980860111571977,1.0984290349660478e-05,0.2,0.0
0.16801617658105192,0.01377473298309706,0.0,-0.3141592653589793
0.10522673230665933,0.013690383996440505,0.0,-0.3141592653589793
0.026265984977763064,-0.1412506394035158,0.0,-0.3141592653589793
